date,time,temp,hum
2021 10 15,23:38:02,29.9,85.3
2021 10 15,23:38:20,29.9,85.4
2021 10 15,23:38:36,29.9,85.4
2021 10 15,23:38:51,29.9,85.4
2021 10 15,23:39:12,29.9,85.4
2021 10 15,23:39:27,29.9,85.4
2021 10 15,23:39:43,29.9,85.4
2021 10 15,23:40:01,29.9,85.4
2021 10 15,23:40:16,29.9,85.4
2021 10 15,23:40:35,29.9,85.4
2021 10 15,23:41:10,29.9,85.3
2021 10 15,23:41:26,29.9,85.3
2021 10 15,23:41:54,29.9,85.3
2021 10 15,23:42:12,29.9,85.4
2021 10 15,23:42:30,29.9,85.4
2021 10 15,23:42:46,29.9,85.4
2021 10 15,23:43:06,29.9,85.4
2021 10 15,23:43:22,29.9,85.4
2021 10 15,23:43:37,29.9,85.4
2021 10 15,23:43:53,29.9,85.4
2021 10 15,23:44:08,29.9,85.3
2021 10 15,23:44:24,29.9,85.4
2021 10 15,23:44:40,29.9,85.3
2021 10 15,23:44:55,29.9,85.3
2021 10 15,23:45:11,29.9,85.4
2021 10 15,23:45:26,29.9,85.4
2021 10 15,23:45:42,29.9,85.4
2021 10 15,23:45:57,29.9,85.2
2021 10 15,23:46:13,29.9,85.3
2021 10 15,23:46:31,29.9,85.4
2021 10 15,23:46:57,29.9,85.5
2021 10 15,23:47:15,29.9,85.4
2021 10 15,23:47:30,29.9,85.4
2021 10 15,23:47:48,29.9,85.3
2021 10 15,23:48:04,29.9,85.4
2021 10 15,23:48:22,29.9,85.4
2021 10 15,23:48:42,29.9,85.5
2021 10 15,23:48:58,29.9,85.3
2021 10 15,23:49:19,29.9,85.3
2021 10 15,23:49:34,29.9,85.3
2021 10 15,23:50:05,29.9,85.5
2021 10 15,23:50:23,29.9,85.3
2021 10 15,23:50:38,29.9,85.3
2021 10 15,23:50:54,29.9,85.3
2021 10 15,23:51:12,29.9,85.5
2021 10 15,23:51:30,29.9,85.4
2021 10 15,23:51:48,29.9,85.3
2021 10 15,23:52:09,29.9,85.2
2021 10 15,23:52:27,29.9,85.2
2021 10 15,23:52:42,29.9,85.3
2021 10 15,23:53:00,29.9,85.2
2021 10 15,23:53:19,29.9,85.2
2021 10 15,23:53:34,29.9,85.2
2021 10 15,23:53:50,29.9,85.2
2021 10 15,23:54:08,29.9,85.2
2021 10 15,23:54:23,29.9,85.2
2021 10 15,23:54:44,29.9,85.2
2021 10 15,23:54:59,29.9,85.2
2021 10 15,23:55:15,29.9,85.3
2021 10 15,23:55:35,29.9,85.1
2021 10 15,23:55:51,29.9,85.1
2021 10 15,23:56:07,29.9,85.2
2021 10 15,23:56:27,29.9,85.2
2021 10 15,23:56:43,29.9,85.2
2021 10 15,23:57:03,29.9,85.1
2021 10 15,23:57:19,29.9,85.1
2021 10 15,23:57:37,29.9,85.2
2021 10 15,23:57:52,29.9,85.2
2021 10 15,23:58:08,29.9,85.2
2021 10 15,23:58:24,29.9,85.2
2021 10 15,23:58:39,29.9,85.2
2021 10 15,23:58:57,29.9,85.2
2021 10 15,23:59:18,29.9,85.2
2021 10 15,23:59:33,29.9,85.2
2021 10 15,23:59:51,29.9,85
2021 10 16,0:00:12,29.9,85.2
2021 10 16,0:00:27,29.9,85.1
2021 10 16,0:00:43,29.9,85.1
2021 10 16,0:01:04,29.9,85.1
2021 10 16,0:01:19,29.9,85.1
2021 10 16,0:01:35,29.9,85.2
2021 10 16,0:01:50,29.9,85.1
2021 10 16,0:02:08,29.9,85.2
2021 10 16,0:02:24,29.9,85.2
2021 10 16,0:02:39,29.8,85.2
2021 10 16,0:02:55,29.9,85.3
2021 10 16,0:03:10,29.9,85.4
2021 10 16,0:03:29,29.8,85.3
2021 10 16,0:03:44,29.8,85.3
2021 10 16,0:04:00,29.9,85.4
2021 10 16,0:04:20,29.8,85.3
2021 10 16,0:04:36,29.8,85.3
2021 10 16,0:04:51,29.9,85.4
2021 10 16,0:05:07,29.8,85.4
2021 10 16,0:05:30,29.8,85.4
2021 10 16,0:05:45,29.8,85.4
2021 10 16,0:06:01,29.8,85.4
2021 10 16,0:06:22,29.8,85.4
2021 10 16,0:06:45,29.8,85.4
2021 10 16,0:07:00,29.8,85.5
2021 10 16,0:07:16,29.9,85.5
2021 10 16,0:07:31,29.9,85.5
2021 10 16,0:07:47,29.8,85.4
2021 10 16,0:08:02,29.9,85.5
2021 10 16,0:08:18,29.9,85.5
2021 10 16,0:08:34,29.9,85.4
2021 10 16,0:08:49,29.9,85.4
